car;modelo del año;country;kilometraje;no_of_cylinders;Desplazamiento;hp;weight;acelerar;price;Class;model_year;mileage;displacement;hp2;weight2;acceleration;price2
toyota carina;1973;Japan;20;4;97;88;2279;19;40000;vgood;70;low;vshort;vweak;regular;med;vgood
chevrolet vega;1973;USA;21;4;140;72;2401;19.5;43478;vgood;70;medium;short;vweak;regular;med;vgood
datsun 610;1973;Japan;22;4;108;94;2379;16.5;20000;good;70;medium;short;vweak;regular;med;good
maxda rx3;1973;Japan;18;3;70;90;2124;13.5;47897;vgood;70;low;vshort;vweak;regular;med;vgood
ford pinto;1973;USA;19;4;122;85;2310;18.5;40000;vgood;70;low;short;vweak;regular;med;vgood
mercury capri v6;1973;USA;21;6;155;107;2472;14;30000;vgood;70;medium;short;weak;regular;med;vgood
fiat 124 sport coupe;1973;Europe;26;4;98;90;2265;15.5;20000;good;70;medium;vshort;vweak;regular;med;good
chevrolet monte carlo s;1973;USA;15;8;350;145;4082;13;26356;vgood;70;low;medium;weak;vheavy;med;vgood
pontiac grand prix;1973;USA;16;8;400;230;4278;9.5;27104;vgood;70;low;medium;medium;vheavy;low;vgood
fiat 128;1973;Europe;29;4;68;49;1867;19.5;30000;vgood;70;medium;vshort;vweak;small;med;vgood
opel manta;1973;Europe;24;4;116;75;2158;15.5;30000;vgood;70;medium;short;vweak;regular;med;vgood
audi 100ls;1973;Europe;20;4;114;91;2582;14;36718;vgood;70;low;short;vweak;regular;med;vgood
volvo 144ea;1973;Europe;19;4;121;112;2868;15.5;30000;vgood;70;low;short;weak;regular;med;vgood
dodge dart custom;1973;USA;15;8;318;150;3399;11;40000;vgood;70;low;medium;weak;heavy;med;vgood
saab 99le;1973;Europe;24;4;121;110;2660;14;30000;vgood;70;medium;short;weak;regular;med;vgood
toyota mark ii;1973;Japan;20;6;156;122;2807;13.5;30000;vgood;70;low;short;weak;regular;med;vgood
oldsmobile omega;1973;USA;11;8;350;180;3664;11;9007;acc;70;low;medium;weak;heavy;med;acc
plymouth duster;1974;USA;20;6;198;95;3102;16.5;20000;good;70;low;short;vweak;heavy;med;good
ford maverick;1974;USA;21;6;200;;2875;17;36837;vgood;70;medium;short;vweak;regular;med;vgood
amc hornet;1974;USA;19;6;232;100;2901;16;30000;vgood;70;low;medium;vweak;regular;med;vgood
chevrolet nova;1974;USA;15;6;250;100;3336;17;34167;vgood;70;low;medium;vweak;heavy;med;vgood
datsun b210;1974;Japan;31;4;79;67;1950;19;30000;vgood;70;high;vshort;vweak;small;med;vgood
ford pinto;1974;USA;26;4;122;80;2451;16.5;40000;vgood;70;medium;short;vweak;regular;med;vgood
toyota corolla 1200;1974;Japan;32;4;71;65;1836;21;50430;vgood;70;high;vshort;vweak;small;high;vgood
chevrolet vega;1974;USA;25;4;140;75;2542;17;30000;vgood;70;medium;short;vweak;regular;med;vgood
chevrolet chevelle malibu classic;1974;USA;16;6;250;100;3781;17;20000;good;70;low;medium;vweak;heavy;med;good
amc matador;1974;USA;16;6;258;110;3632;18;35815;vgood;70;low;medium;weak;heavy;med;vgood
plymouth satellite sebring;1974;USA;18;6;225;105;3613;16.5;30000;vgood;70;low;medium;weak;heavy;med;vgood
ford gran torino;1974;USA;16;8;302;140;4141;14;27028;vgood;70;low;medium;weak;vheavy;med;vgood
buick century luxus (sw);1974;USA;13;8;350;150;4699;14.5;20000;good;70;low;medium;weak;vheavy;med;good
dodge coronet custom (sw);1974;USA;14;8;318;150;4457;13.5;30000;vgood;70;low;medium;weak;vheavy;med;vgood
ford gran torino (sw);1974;USA;14;8;302;140;4638;16;43956;vgood;70;low;medium;weak;vheavy;med;vgood
amc matador (sw);1974;USA;14;8;304;150;4257;15.5;30000;vgood;70;low;medium;weak;vheavy;med;vgood
audi fox;1974;Europe;29;4;98;83;2219;16.5;27393;vgood;70;medium;vshort;vweak;regular;med;vgood
volkswagen dasher;1974;Europe;26;4;79;67;1963;15.5;40000;vgood;70;medium;vshort;vweak;small;med;vgood
opel manta;1974;Europe;26;4;97;78;2300;14.5;10064;good;70;medium;vshort;vweak;regular;med;good
toyota corona;1974;Japan;31;4;76;52;1649;16.5;20000;good;70;high;vshort;vweak;small;med;good
datsun 710;1974;Japan;32;4;83;61;2003;19;22599;good;70;high;vshort;vweak;regular;med;good
dodge colt;1974;USA;28;4;90;75;2125;14.5;30000;vgood;70;medium;vshort;vweak;regular;med;vgood
fiat 128;1974;Europe;24;4;90;75;2108;15.5;36360;vgood;70;medium;vshort;vweak;regular;med;vgood
fiat 124 tc;1974;Europe;26;4;116;75;2246;14;24285;good;70;medium;short;vweak;regular;med;good
honda civic;1974;Japan;24;4;120;97;2489;15;30000;vgood;70;medium;short;vweak;regular;med;vgood
subaru;1974;Japan;26;4;108;93;2391;15.5;26415;vgood;70;medium;short;vweak;regular;med;vgood
fiat x1.9;1974;Europe;31;4;79;67;2000;16;8068;acc;70;high;vshort;vweak;small;med;acc
plymouth valiant custom;1975;USA;19;6;225;95;3264;16;20000;good;70;low;medium;vweak;heavy;med;good
chevrolet nova;1975;USA;18;6;250;105;3459;16;35725;vgood;70;low;medium;weak;heavy;med;vgood
mercury monarch;1975;USA;15;6;250;72;3432;21;12389;good;70;low;medium;vweak;heavy;high;good
ford maverick;1975;USA;15;6;250;72;3158;19.5;30000;vgood;70;low;medium;vweak;heavy;med;vgood
pontiac catalina;1975;USA;16;8;400;170;4668;11.5;40000;vgood;70;low;medium;weak;vheavy;med;vgood
chevrolet bel air;1975;USA;15;8;350;145;4440;14;8844;acc;70;low;medium;weak;vheavy;med;acc
plymouth grand fury;1975;USA;16;8;318;150;4498;14.5;7250;acc;70;low;medium;weak;vheavy;med;acc
ford ltd;1975;USA;14;8;351;148;4657;13.5;40000;vgood;70;low;medium;weak;vheavy;med;vgood
buick century;1975;USA;17;6;231;110;3907;21;43914;vgood;70;low;medium;weak;heavy;high;vgood
chevroelt chevelle malibu;1975;USA;16;6;250;105;3897;18.5;16545;good;70;low;medium;weak;heavy;med;good
amc matador;1975;USA;15;6;258;110;3730;19;25350;vgood;70;low;medium;weak;heavy;med;vgood
plymouth fury;1975;USA;18;6;225;95;3785;19;30000;vgood;70;low;medium;vweak;heavy;med;vgood
buick skyhawk;1975;USA;21;6;231;110;3039;15;34086;vgood;70;medium;medium;weak;heavy;med;vgood
chevrolet monza 2+2;1975;USA;20;8;262;110;3221;13.5;30000;vgood;70;low;medium;weak;heavy;med;vgood
ford mustang ii;1975;USA;13;8;302;129;3169;12;34458;vgood;70;low;medium;weak;heavy;med;vgood
toyota corolla;1975;Japan;29;4;97;75;2171;16;30000;vgood;70;medium;vshort;vweak;regular;med;vgood
ford pinto;1975;USA;23;4;140;83;2639;17;16969;good;70;medium;short;vweak;regular;med;good
amc gremlin;1975;USA;20;6;232;100;2914;16;22601;good;70;low;medium;vweak;regular;med;good
pontiac astro;1975;USA;23;4;140;78;2592;18.5;30000;vgood;70;medium;short;vweak;regular;med;vgood
toyota corona;1975;Japan;24;4;134;96;2702;13.5;5579;acc;70;medium;short;vweak;regular;med;acc
volkswagen dasher;1975;Europe;25;4;90;71;2223;16.5;34296;vgood;70;medium;vshort;vweak;regular;med;vgood
datsun 710;1975;Japan;24;4;119;97;2545;17;24360;good;70;medium;short;vweak;regular;med;good
ford pinto;1975;USA;18;6;171;97;2984;14.5;40000;vgood;70;low;short;vweak;regular;med;vgood
volkswagen rabbit;1975;Europe;29;4;90;70;1937;14;23556;good;70;medium;vshort;vweak;small;med;good
amc pacer;1975;USA;19;6;232;90;3211;17;25780;vgood;70;low;medium;vweak;heavy;med;vgood
audi 100ls;1975;Europe;23;4;115;95;2694;15;16577;good;70;medium;short;vweak;regular;med;good
peugeot 504;1975;Europe;23;4;120;88;2957;17;30000;vgood;70;medium;short;vweak;regular;med;vgood
volvo 244dl;1975;Europe;22;4;121;98;2945;14.5;40000;vgood;70;medium;short;vweak;regular;med;vgood
saab 99le;1975;Europe;25;4;121;115;2671;13.5;17081;good;70;medium;short;weak;regular;med;good
honda civic cvcc;1975;Japan;33;4;91;53;1795;17.5;25437;vgood;70;high;vshort;vweak;small;med;vgood
fiat 131;1976;Europe;28;4;107;86;2464;15.5;37496;vgood;70;medium;short;vweak;regular;med;vgood
opel 1900;1976;Europe;25;4;116;81;2220;16.9;23326;good;70;medium;short;vweak;regular;med;good
capri ii;1976;USA;25;4;140;92;2572;14.9;30000;vgood;70;medium;short;vweak;regular;med;vgood
dodge colt;1976;USA;26;4;98;79;2255;17.7;33128;vgood;70;medium;vshort;vweak;regular;med;vgood
renault 12tl;1976;Europe;27;4;101;83;2202;15.3;30000;vgood;70;medium;short;vweak;regular;med;vgood
chevrolet chevelle malibu classic;1976;USA;17.5;8;305;140;4215;13;25547;vgood;70;low;medium;weak;vheavy;med;vgood
dodge coronet brougham;1976;USA;16;8;318;150;4190;13;20000;good;70;low;medium;weak;vheavy;med;good
amc matador;1976;USA;15.5;8;304;120;3962;13.9;20000;good;70;low;medium;weak;heavy;med;good
ford gran torino;1976;USA;14.5;8;351;152;4215;12.8;47075;vgood;70;low;medium;weak;vheavy;med;vgood
plymouth valiant;1976;USA;22;6;225;100;3233;15.4;40000;vgood;70;medium;medium;vweak;heavy;med;vgood
chevrolet nova;1976;USA;22;6;250;105;3353;14.5;44634;vgood;70;medium;medium;weak;heavy;med;vgood
ford maverick;1976;USA;24;6;200;81;3012;17.6;50180;vgood;70;medium;short;vweak;heavy;med;vgood
amc hornet;1976;USA;22.5;6;232;90;3085;17.6;13137;good;70;medium;medium;vweak;heavy;med;good
chevrolet chevette;1976;USA;29;4;85;52;2035;22.2;40000;vgood;70;medium;vshort;vweak;regular;high;vgood
chevrolet woody;1976;USA;24.5;4;98;60;2164;22.1;30000;vgood;70;medium;vshort;vweak;regular;high;vgood
vw rabbit;1976;Europe;29;4;90;70;1937;14.2;20000;good;70;medium;vshort;vweak;small;med;good
honda civic;1976;Japan;33;4;91;53;1795;17.4;40000;vgood;70;high;vshort;vweak;small;med;vgood
dodge aspen se;1976;USA;20;6;225;100;3651;17.7;30000;vgood;70;low;medium;vweak;heavy;med;vgood
ford granada ghia;1976;USA;18;6;250;78;3574;21;26411;vgood;70;low;medium;vweak;heavy;high;vgood
pontiac ventura sj;1976;USA;18.5;6;250;110;3645;16.2;26090;vgood;70;low;medium;weak;heavy;med;vgood
amc pacer d/l;1976;USA;17.5;6;258;95;3193;17.8;30000;vgood;70;low;medium;vweak;heavy;med;vgood
volkswagen rabbit;1976;Europe;29.5;4;97;71;1825;12.2;23641;good;70;medium;vshort;vweak;small;med;good
datsun b-210;1976;Japan;32;4;85;70;1990;17;34072;vgood;70;high;vshort;vweak;small;med;vgood
toyota corolla;1976;Japan;28;4;97;75;2155;16.4;22682;good;70;medium;vshort;vweak;regular;med;good
ford pinto;1976;USA;26.5;4;140;72;2565;13.6;40000;vgood;70;medium;short;vweak;regular;med;vgood
volvo 245;1976;Europe;20;4;130;102;3150;15.7;40000;vgood;70;low;short;weak;heavy;med;vgood
plymouth volare premier v8;1976;USA;13;8;318;150;3940;13.2;22781;good;70;low;medium;weak;heavy;med;good
peugeot 504;1976;Europe;19;4;120;88;3270;21.9;26122;vgood;70;low;short;vweak;heavy;high;vgood
toyota mark ii;1976;Japan;19;6;156;108;2930;15.5;14501;good;70;low;short;weak;regular;med;good
mercedes-benz 280s;1976;Europe;16.5;6;168;120;3820;16.7;24938;good;70;low;short;weak;heavy;med;good
cadillac seville;1976;USA;16.5;8;350;180;4380;12.1;16557;good;70;low;medium;weak;vheavy;med;good
chevy c10;1976;USA;13;8;350;145;4055;12;30000;vgood;70;low;medium;weak;vheavy;med;vgood
ford f108;1976;USA;13;8;302;130;3870;15;20000;good;70;low;medium;weak;heavy;med;good
dodge d100;1976;USA;13;8;318;150;3755;14;20000;good;70;low;medium;weak;heavy;med;good
honda accord cvcc;1977;Japan;31.5;4;98;68;2045;18.5;16288;good;70;high;vshort;vweak;regular;med;good
buick opel isuzu deluxe;1977;USA;30;4;111;80;2155;14.8;25531;vgood;70;medium;short;vweak;regular;med;vgood
renault 5 gtl;1977;Europe;36;4;79;58;1825;18.6;20000;good;70;high;vshort;vweak;small;med;good
plymouth arrow gs;1977;USA;25.5;4;122;96;2300;15.5;30000;vgood;70;medium;short;vweak;regular;med;vgood
datsun f-10 hatchback;1977;Japan;33.5;4;85;70;1945;16.8;30000;vgood;70;high;vshort;vweak;small;med;vgood
chevrolet caprice classic;1977;USA;17.5;8;305;145;3880;12.5;30000;vgood;70;low;medium;weak;heavy;med;vgood
oldsmobile cutlass supreme;1977;USA;17;8;260;110;4060;19;30000;vgood;70;low;medium;weak;vheavy;med;vgood
dodge monaco brougham;1977;USA;15.5;8;318;145;4140;13.7;40000;vgood;70;low;medium;weak;vheavy;med;vgood
mercury cougar brougham;1977;USA;15;8;302;130;4295;14.9;20000;good;70;low;medium;weak;vheavy;med;good
chevrolet concours;1977;USA;17.5;6;250;110;3520;16.4;20000;good;70;low;medium;weak;heavy;med;good
buick skylark;1977;USA;20.5;6;231;105;3425;16.9;30000;vgood;70;low;medium;weak;heavy;med;vgood
plymouth volare custom;1977;USA;19;6;225;100;3630;17.7;26631;vgood;70;low;medium;vweak;heavy;med;vgood
ford granada;1977;USA;18.5;6;250;98;3525;19;36454;vgood;70;low;medium;vweak;heavy;med;vgood
pontiac grand prix lj;1977;USA;16;8;400;180;4220;11.1;16331;good;70;low;medium;weak;vheavy;med;good
chevrolet monte carlo landau;1977;USA;15.5;8;350;170;4165;11.4;40000;vgood;70;low;medium;weak;vheavy;med;vgood
chrysler cordoba;1977;USA;15.5;8;400;190;4325;12.2;20000;good;70;low;medium;weak;vheavy;med;good
ford thunderbird;1977;USA;16;8;351;149;4335;14.5;40000;vgood;70;low;medium;weak;vheavy;med;vgood
volkswagen rabbit custom;1977;Europe;29;4;97;78;1940;14.5;44398;vgood;70;medium;vshort;vweak;small;med;vgood
pontiac sunbird coupe;1977;USA;24.5;4;151;88;2740;16;22768;good;70;medium;short;vweak;regular;med;good
toyota corolla liftback;1977;Japan;26;4;97;75;2265;18.2;24052;good;70;medium;vshort;vweak;regular;med;good
ford mustang ii 2+2;1977;USA;25.5;4;140;89;2755;15.8;30000;vgood;70;medium;short;vweak;regular;med;vgood
chevrolet chevette;1977;USA;30.5;4;98;63;2051;17;40000;vgood;70;medium;vshort;vweak;regular;med;vgood
dodge colt m/m;1977;USA;33.5;4;98;83;2075;15.9;36579;vgood;70;high;vshort;vweak;regular;med;vgood
subaru dl;1977;Japan;30;4;97;67;1985;16.4;32736;vgood;70;medium;vshort;vweak;small;med;vgood
volkswagen dasher;1977;Europe;30.5;4;97;78;2190;14.1;20000;good;70;medium;vshort;vweak;regular;med;good
datsun 810;1977;Japan;22;6;146;97;2815;14.5;42883;vgood;70;medium;short;vweak;regular;med;vgood
bmw 320i;1977;Europe;21.5;4;121;110;2600;12.8;23927;good;70;medium;short;weak;regular;med;good
mazda rx-4;1977;Japan;21.5;3;80;110;2720;13.5;23762;good;70;medium;vshort;weak;regular;med;good
volkswagen rabbit custom diesel;1978;Europe;43.1;4;90;48;1985;21.5;30000;vgood;70;vhigh;vshort;vweak;small;high;vgood
ford fiesta;1978;USA;36.1;4;98;66;1800;14.4;30000;vgood;70;high;vshort;vweak;small;med;vgood
mazda glc deluxe;1978;Japan;32.8;4;78;52;1985;19.4;32914;vgood;70;high;vshort;vweak;small;med;vgood
datsun b210 gx;1978;Japan;39.4;4;85;70;2070;18.6;40000;vgood;70;high;vshort;vweak;regular;med;vgood
honda civic cvcc;1978;Japan;36.1;4;91;60;1800;16.4;30000;vgood;70;high;vshort;vweak;small;med;vgood
